id,slug,name,brand,model,trim
c2c7d3f6-2bba-41cb-8a28-ccd2dbe0f719,ferrari-812-superfast,"812 Superfast","Ferrari","812","Superfast"
c519c905-1238-4b7b-b986-b414e2ae7714,ferrari-f430-430,"F430","Ferrari","F430","Standard"
81b53809-bc93-426a-b279-a96d7cda625f,ferrari-f8-tributo,"F8 Tributo","Ferrari","F8","Tributo"
8d56014b-4dc5-4a6d-a474-14f4415ffd39,ferrari-roma-2020,"Roma","Ferrari","Roma","Standard"
6e829738-7a28-418d-992e-578ef855de8e,ferrari-sf90-stradale-2019-2024,"SF90 Stradale","Ferrari","SF90","Stradale"
0a793922-cbf5-4c5a-8575-fe78636ea200,ford-bronco-sixth-generation,"Bronco","Ford","Bronco","Standard"
c2381c68-3c67-42b1-8eb4-1d82dd0d2192,ford-bronco-raptor-sixth-generation,"Bronco Raptor","Ford","Bronco","Raptor"
43b01ff6-a032-41bc-bc5e-1b308c3e3c18,ford-crown-victoria-p71,"Crown Victoria","Ford","Crown Victoria","Standard"
01490d67-89a8-427e-a26b-ef418fae3088,ford-f150-fourteenth-generation,"F-150","Ford","F-150","Standard"
8abad69d-e0ff-4ef4-9361-28f9286994ec,ford-f150-thirteenth,"F-150","Ford","F-150","Standard"
e6a496e4-9956-46ea-acfb-572f49fa21c1,ford-f150-lightning-1st-gen,"F-150 Lightning","Ford","F-150","Lightning"
939546b0-11ff-4651-b836-9acec1c7abcf,ford-f150-raptor-second-generation,"F-150 Raptor","Ford","F-150","Raptor"
79c9ed9e-a6ff-4c33-a194-bf4f0bd6c5f3,ford-f-150-raptor-2021-2024,"F-150 Raptor","Ford","F-150","Raptor"
aed55512-159f-4dff-9c4a-585080b38104,ford-f150-raptor-r-third-generation,"F-150 Raptor R","Ford","F-150","Raptor R"
0fbb086b-258e-47eb-a16d-2c62a2061f3c,ford-f250-powerstroke-fourth-generation,"F-250 Power Stroke","Ford","F-250","Power Stroke"
1dcd93c8-fcd2-4a31-8970-3996bd463036,ford-focus-rs,"Focus RS","Ford","Focus","RS"
33664039-94dc-48de-9a2f-042a3d78097a,ford-focus-st-mk3,"Focus ST Mk3","Ford","Mk3 Focus","ST"
8de4d765-d634-4604-8f58-4720804c6b40,ford-fusion-sport-cd538,"Fusion Sport","Ford","Fusion","Sport"
dd80ee3e-5a72-4e72-80fd-4dc3c4f432b3,ford-maverick-2022-2024,"Maverick","Ford","Maverick","Standard"
aaf851a8-3da9-4c46-b627-0c0c33f1d9c6,ford-mustang-boss-302,"Mustang Boss 302","Ford","Mustang","Boss 302"
893d91ac-d70f-446f-b6ab-9c6887e00256,ford-mustang-fastback-1967-1968,"Mustang Fastback","Ford","Mustang","Fastback"
ddb316f9-ca94-4ce0-ac81-13b898678435,ford-mustang-gt-fox-body,"Mustang GT Fox Body","Ford","Fox Body Mustang","GT"
e8a82f1c-22fe-4c38-8068-701bac493a48,mustang-gt-pp2,"Mustang GT PP2","Ford","Mustang","GT PP2"
68b69786-8bf0-456b-b463-ded6a33b9b1a,ford-mustang-gt-sn95,"Mustang GT SN95","Ford","SN95 Mustang","GT"
94bbf67f-dafc-44f4-aeae-e36dc62a06b8,ford-mustang-mach-1-sn95,"Mustang Mach 1","Ford","Mustang","Mach 1"
070a1ac3-c6fd-4fde-a98e-cb9b3ff57303,ford-mustang-svt-cobra-sn95,"Mustang SVT Cobra","Ford","Mustang","SVT Cobra"
e9fa6c38-63db-4d54-8c3d-be966b1f32b5,ford-mustang-cobra-terminator,"Mustang SVT Cobra Terminator","Ford","Mustang","SVT Cobra Terminator"
6e429451-bda7-4d95-949a-dbcc3011c18d,ford-ranger-raptor-2024,"Ranger Raptor","Ford","Ranger","Raptor"
b30f3f99-977c-4bf4-8994-8b4c8af621a1,ford-ranger-t6-facelift,"Ranger T6 Facelift","Ford","T6 Ranger","Facelift"
80688dee-ae35-4ed7-90dd-845708e92362,shelby-gt350,"Shelby GT350","Ford","Mustang Shelby","GT350"
29394d54-b80f-4bbc-9fd9-cd614687ea2a,shelby-gt500,"Shelby GT500","Ford","Mustang Shelby","GT500"
a98bb02a-b8e4-4f89-82bf-c78797752b93,ford-taurus-sho-fourth-generation,"Taurus SHO","Ford","Taurus","SHO"
f3ace1d6-d563-4b66-ac35-13e7353eba09,genesis-g70-33t-ik,"G70 3.3T","Genesis","G70","3.3T"
0b0d5ce0-bff8-496d-924c-23357bd545c7,gmc-canyon-at4-2017-2024,"Canyon AT4","GMC","Canyon","AT4"
8f240080-4689-47aa-990f-1751c1c2849a,gmc-hummer-ev-t1xx,"Hummer EV","GMC","Hummer EV","Standard"
999e2ad1-a5d7-442e-93a7-5f1d038e68fd,gmc-sierra-1500-fourth-generation,"Sierra 1500","GMC","Sierra 1500","Standard"
94c8e4c4-48d3-439f-81e7-c2c8faeb6cbc,gmc-sierra-at4x-k2xx,"Sierra AT4X","GMC","Sierra","AT4X"
72fa2576-bb5c-44ed-814f-19fefe174ffc,honda-accord-sport-2-0t-tenth-generation,"Accord 2.0T Sport","Honda","Accord","2.0T Sport"
